ID,shrub species,target plant,pathway,animal interactor,class,order,shrub functional role,animal functional role,responses,hypothesis,simplified H,# trophic levels,ecosystem,direct/indirect,GPS-Lat,GPS-Long,country,elevation (m),MAP,Aridity
53.1,Ilex aquifolium,Taxus baccata,shrub-plant-animal,large mammals,Mammalia,Artiodactyla,herbivore protection,consumer,Seeds and cover,herbivore-mediated facilitation,protection,2,alpine steppe,indirect,43.4333,-5.2553,Spain,691,970,50.52083333
53.2,Taxus baccata,Taxus baccata,shrub-plant-animal,large mammals,Mammalia,Artiodactyla,herbivore protection,consumer,Seeds and cover,herbivore-mediated facilitation,protection,2,alpine steppe,indirect,43.4333,-5.2553,Spain,691,970,50.52083333
55,Juniperus sabina,"Juniperus communis, Pinus Nigra, Helleborus foetidus, Euphorbia nicaeensis",shrub-animal-plant,birds,Aves,Passeriformes,seed trap,disperser,"Communtiy composition, species gender",facilitation via seed dispersal,dispersal,2,arid/semi-arid,direct,40.02,-1.2,Spain,894,508,24.7804878
56,Unlisted - multiple,"Cecropia polyphlebia, Helicarpus appendiculates and sorocea trophoides",shrub-animal-plant,birds,Aves,Passeriformes,seed trap,disperser,"Seedling survival, seed rain, granivory rate",facilitation via seed dispersal,dispersal,2,alpine steppe,direct,8.95,-82.083,Costa Rica,48,3618,103.6676
58,Artemisia tridentata,Pinus monophylla,shrub-plant-animal,mammals,Mammalia,Rodentia,herbivore protection,consumer,seed granivory,neighbour defence,protection,2,arid/semi-arid,indirect,39.12,-119.65,USA,1660,329,17.97814208
64.1,Calophyllum brasiliense,"Cecropia polyphlebia, Hasseltia floribunda, Helicarpus appendiculates and sorocea trophoides",shrub-animal-plant,birds,Aves,Passeriformes,seed trap,disperser,Seed rain,facilitation via seed dispersal,dispersal,2,tropical,direct,8.95,-82.08,Costa Rica,48,3618,103.6676
64.2,Prunus annularis,"Cecropia polyphlebia, Hasseltia floribunda, Helicarpus appendiculates and sorocea trophoides",shrub-animal-plant,birds,Aves,Passeriformes,seed trap,disperser,Seed rain,facilitation via seed dispersal,dispersal,2,tropical,direct,8.95,-82.08,Costa Rica,48,3618,103.6676
64.3,Quercus oocarpa,"Cecropia polyphlebia, Hasseltia floribunda, Helicarpus appendiculates and sorocea trophoides",shrub-animal-plant,birds,Aves,Passeriformes,seed trap,disperser,Seed rain,facilitation via seed dispersal,dispersal,2,tropical,direct,8.95,-82.08,Costa Rica,48,3618,103.6676
66,Lupinus arboreus,Lolium multiflorum and Bromus diandrus,shrub-animal-plant,insects,Insecta,Lepidoptera,resource source,decomposer,"Light availability, nitrogen content of soil",increasing nutrient cycling,resources,2,arid/semi-arid,direct,38.3174,-123.0622,USA,14,1015,44.51754386
67,Cratagus spp.,animal,shrub-animal-animal,birds,Aves,Passeriformes,habitat,none,Nest height & mortality rate,animal protection,protection,2,temperate forest,direct,41.81,-88.07,USA,214,929,47.64102564
72,Lupinus arboreus,Bromus diandrus,shrub-animal-plant,insects,Insecta,Lepidoptera,resource source,decomposer,Annual above/belowground biomass,increasing nutrient cycling,resources,2,arid/semi-arid,direct,38.3174,-123.0622,USA,14,1015,44.51754386
73,Pistacia lentiscus,Annual community,shrub-animal-plant,birds,Aves,Passeriformes,seed trap,disperser,"Plant germination, biomass",facilitation via seed dispersal,dispersal,2,arid/semi-arid,direct,41.26,1.98,Spain,2,785,36.34259
74,Unlisted - multiple,Whole plant community,shrub-animal-plant,insects,Arachnida,Trombidiformes,resource source,consumer,Leaf biomass and nutrient content,increase food availability,resources,2,arid/semi-arid,direct,45.65,11.49,Italy,74,969,41.94805195
75.1,Cordia multispicata,"multiple tree seedlings, vines and shrubs",shrub-animal-plant,birds,Aves,Passeriformes,seed trap,disperser,Speices richness and abundance,facilitation via seed dispersal,dispersal,2,tropical,direct,-2.91,-47.58,Brazil,99,1923,52.82967033
75.2,Cordia multispicata,"multiple tree seedlings, vines and shrubs",shrub-plant-animal,large mammals,Mammalia,Artiodactyla,herbivore protection,consumer,Speices richness and abundance,neighbour defence,protection,2,tropical,indirect,-2.91,-47.58,Brazil,99,1923,52.82967033
77.1,Cornus racemosa,"Acer rubrum, Pinus strobus and Rhamnus cathartica",shrub-animal-plant,birds,Aves,Passeriformes,seed trap,disperser,"Seed disappearance, emergence, survivorship",facilitation via seed dispersal,dispersal,2,temperate forest,direct,42.44,-76.5,USA,123,863,45.66137566
77.2,Rhamus cathartica,"Acer rubrum, Pinus strobus and Rhamnus cathartica",shrub-animal-plant,birds,Aves,Passeriformes,seed trap,disperser,"Seed disappearance, emergence, survivorship",facilitation via seed dispersal,dispersal,2,temperate forest,direct,42.44,-76.5,USA,123,863,45.66137566
77.3,Rhus typhina,"Acer rubrum, Pinus strobus and Rhamnus cathartica",shrub-animal-plant,birds,Aves,Passeriformes,seed trap,disperser,"Seed disappearance, emergence, survivorship",facilitation via seed dispersal,dispersal,2,temperate forest,direct,42.44,-76.5,USA,123,863,45.66137566
77.4,Rubus allegheniensis,"Acer rubrum, Pinus strobus and Rhamnus cathartica",shrub-animal-plant,birds,Aves,Passeriformes,seed trap,disperser,"Seed disappearance, emergence, survivorship",facilitation via seed dispersal,dispersal,2,temperate forest,direct,42.44,-76.5,USA,123,863,45.66137566
27,variety of shrub species,single species: Allocasuarina huegeliana,shrub-plant-animal,large mammals,Mammalia,Diprotodontia,herbivore protection,consumer,seedling establishment,neighbour defence,protection,2,arid/semi-arid,direct,-31.3919888,117.7158526,Australia,311,320,11.5942029
28.1,"variety of native shrubs, unreported",native shrubs vs Lonicera with understorey varying from dense to spare,shrub-plant-animal,birds,Aves,Passeriformes,habitat,consumer,bird densities,community structuring,community,2,temperate forest,direct,39.8403147,-88.9548001,USA,209,981,46.05633803
28.2,Lonicera spp,native shrubs vs Lonicera with understorey varying from dense to spare,shrub-plant-animal,birds,Aves,Passeriformes,habitat,consumer,bird densities,community structuring,community,2,temperate forest,direct,39.8403147,-88.9548001,USA,209,981,46.05633803
29,Lonicera maackii,bird presence,shrub-plant-animal,birds,Aves,Passeriformes,habitat,disperser,bird densities,mediation of invasion,invasion,2,temperate forest,indirect,38.707549,-90.740719,USA,185,969,43.64864865
1.1,Celtis pallida,Capsicum annum var. glabriusculum,shrub-animal-plant,birds,Aves,Passeriformes,seed trap,disperser,seeds dispersed and seedlings height,facilitation via seed dispersal,dispersal,2,arid/semi-arid,direct,31.55,-111.0666,USA,1022,418,15.36764706
1.2,Prosopis velutina,Capsicum annum var. glabriusculum,shrub-animal-plant,birds,Aves,Passeriformes,seed trap,disperser,seeds dispersed and seedlings height,facilitation via seed dispersal,dispersal,2,arid/semi-arid,direct,31.55,-111.0666,USA,1022,418,15.36764706
2.1,Viburnum recognitum,Viburnum recognitum,shrub-animal-plant,birds,Aves,Passeriformes,seed trap,consumer,fruits dispersed,dispersal on plant-plant interactions,resources,2,maritime shrubland,direct,41.4666,-71.5166,USA,54,1177,59.14572864
2.2,Viburnum dentatum,Viburnum dentatum,shrub-animal-plant,birds,Aves,Passeriformes,seed trap,consumer,fruits dispersed,dispersal on plant-plant interactions,resources,2,maritime shrubland,direct,41.4666,-71.5166,USA,54,1177,59.14572864
8,variety of shrub species,variety of shrub species with and without grazing removal,shrub-animal-plant,large mammals,Mammalia,Artiodactyla,herbivore protection,consumer,species richness and cover,neighbour defence,protection,2,arid/semi-arid,direct,-42.6,-64.1666,Argentina,73,213,9.220779221
9,Vaccinium myrtillus,Betula pubescens,shrub-plant-animal,insects,Insecta,,herbivore protection,consumer,number of eaten leaves,neighbour defence,protection,2,sub-arctic montane,direct,68.366,18.747,Sweden,341,422,43.95833333
12.1,Porlieria chilensis,"Senna cummingii, Griselinia scandens, Myrceugenia correifolia",shrub-plant-animal,mammals,Mammalia,,herbivore protection,consumer,Seedling survival,neighbour defence,protection,2,arid/semi-arid,direct,-30.65,-71.667,Chile,369,132,5.238095238
12.2,Baccharis vernalis,"Senna cummingii, Griselinia scandens, Myrceugenia correifolia",shrub-plant-animal,mammals,Mammalia,,herbivore protection,consumer,Seedling survival,neighbour defence,protection,2,arid/semi-arid,direct,-30.65,-71.667,Chile,369,132,5.238095238
13,Lespedeza cuneata,"Lespedeza capitata, Lespedeza virgincica and Lespedeza violacea",shrub-plant-animal,insects,Insecta,,floral resource,pollinator,Visitation rate,magnet hypothesis,magnet,2,arid/semi-arid,indirect,39.167,-96.683,USA,310,856,38.90909091
19.1,Berberis buxifolia,Vicia nigricans,shrub-plant-animal,insects,Insecta,,herbivore protection,consumer,"Herbivory level, reproductive output, growth",neighbour defence,protection,2,temperate forest,indirect,-41.233,-71.4,Argentina,808,892,56.10062893
19.2,Schinus patagonica,Vicia nigricans,shrub-plant-animal,insects,Insecta,,herbivore protection,consumer,"Herbivory level, reproductive output, growth",neighbour defence,protection,2,temperate forest,indirect,-41.233,-71.4,Argentina,808,892,56.10062893
23,variety of shrub species,variety of shrub species,shrub-plant-animal,large mammals,Mammalia,Artiodactyla,herbivore protection,consumer,species richness and cover,neighbour defence,protection,2,arid/semi-arid,indirect,-6.583,-79.167,Peru,2154,865,34.46215139
24,Discaria articulata,Austrocedrus chilensis,shrub-plant-animal,insects,Insecta,,herbivore protection,consumer,seedling survival and predation,apparent competition,community,2,temperate forest,indirect,-41.1,-71.233,Argentina,868,903,48.28877005
30,Morella cerifera,Triadica sebifera,shrub-plant-animal,birds,Aves,Passeriformes,seed dispersal,disperser,"seed rain, seed germination, seedling growth",mediation of invasion,invasion,2,sub-tropical,indirect,29.823581,-90.140138,USA,0,1571,51.67763158
31,Malpighia glabra,Oncidium cosymbephorum,shrub-plant-animal,insects,insecta,,floral resource,pollinator,fruit set,magnet hypothesis,magnet,2,tropical,indirect,19.173773,-96.1342241,Mexico,14,1559,44.03954802
33,Acacia erioloba & Acacia tortilis,Schinus molle,shrub-plant-animal,large mammals,Mammalia,,herbivore protection,consumer,"survival, seedling height",neighbour defence,protection,2,arid/semi-arid,indirect,-27.296129,22.394256,South Africa,1125,285,9.965034965
36,Acacia erioloba,Ziziphus mucronata,shrub-plant-animal,large mammals,"Mammalia, Insecta",,herbivore protection,consumer,"germination, seedling survival, seedling growth",neighbour defence,protection,2,arid/semi-arid,indirect,-24.30017,18.03277,South Africa,1215,225,7.5
37,"Rubus ulmifolius, Crataegus monogyna, Rosa canina, Prunus avium, Erica arborea",Taxus baccata,shrub-plant-animal,large mammals,Mammalia,,herbivore protection,consumer,"seedling & sapling density, intensity of herbivory",neighbour defence,protection,2,arid/semi-arid,indirect,40.216667,8.583333,Italy,900,746,29.84
41,Acacia tortilis (native) and Prosopis sp (exotics),"Pollichia campestris, Diospyros lycioides, Rhus lancea, Lycium cinereum, Ziziphus mucronata, Celtis sp., Lycium hirsutum, Asparagus cooperi (ALL EXOTICS)",shrub-plant-animal,birds,Aves,Passeriformes,seed dispersal,disperser,species richness of exotic plants,host for dispersal agents,dispersal,2,arid/semi-arid,indirect,-28.73611,24.77056,South Africa,1198,443,15.82142857
43,"Acacia pulchella, Banksia attenuata, Banksia menziesii, Bossiaea eriocarpa, Corymbia calophylla, Hakea prostrata, Hardenbergia comptoniana, Mirbelia dilatata, Oxylobium lanceolatum","Calothamnus quadrifidus, Notodanthaoni B caespitosa",shrub-plant-animal,mammals,Mammalia,,herbivore protection,consumer,Plant shoot mass,neighbour defence,protection,2,arid/semi-arid,indirect,-31.8,115.93,Australia,13,773,27.31448763
45,"Baccharis uncinella, Pinus elliotti, Myrceugenia euosma, Araucaria angustifolia, Baccharis mesoneura","Myrsine lorentziana, Miconia hyemalis, Araucaria angustifolia, Gordonia acutifolia, Siphoneugena reitzii, Ilex dumosa, Psidium cattleyanum, Myrtaceae, Ilex microdonta, Siphoneugena reitzii",shrub-plant-animal,mammals,Mammalia,,seed dispersal,disperser,seedling density,host for dispersal agents,dispersal,2,arid/semi-arid,indirect,-29.4422404,-50.5797573,Brazil,894,2109,83.35968379
47,"Pyracantha angustifolia, Condalia montana",Ligustrum lucidum,shrub-plant-animal,birds,Aves,Passeriformes,seed dispersal,consumer,sapling density,host for dispersal agents,dispersal,2,arid/semi-arid,indirect,-31.1499996,-64.3166809,Argentina,878,706,28.24
50.1,unreported canopy,Clidemia hirta,shrub-plant-animal,insects,Insecta,,herbivore protection,consumer,"seedling survival, RGR, percent leaf area missing",facilitation with enemy-release,invasion,2,tropical,indirect,10.4232682,-84.0220298,Costa Rica,104,4082,114.0223464
50.2,unreported canopy,Clidemia hirta,shrub-plant-animal,insects,Insecta,,herbivore protection,consumer,"seedling survival, RGR, percent leaf area missing",facilitation with enemy-release,invasion,2,tropical,indirect,21.299814,-157.817612,USA,25,839,24.38953488
78.1,Rosa rubiginosa,Fagus sylvatica,shrub-plant-animal,large mammals,Mammalia,Artiodactyla,herbivore protection,consumer,"survival, damage",herbivore-mediated facilitation,protection,2,temperate forest,indirect,46.941,6.4583,Switzerland,1126,1425,91.34615385
78.2,Rosa rubiginosa,Acer pseudoplatanus,shrub-plant-animal,large mammals,Mammalia,Artiodactyla,herbivore protection,consumer,"survival, damage",herbivore-mediated facilitation,protection,2,temperate forest,indirect,46.941,6.4583,Switzerland,1126,1425,91.34615385
78.3,Rosa rubiginosa,Abies abla,shrub-plant-animal,large mammals,Mammalia,Artiodactyla,herbivore protection,consumer,"survival, damage",herbivore-mediated facilitation,protection,2,temperate forest,indirect,46.941,6.4583,Switzerland,1126,1425,91.34615385
78.4,Rosa rubiginosa,Picea abies,shrub-plant-animal,large mammals,Mammalia,Artiodactyla,herbivore protection,consumer,"survival, damage",herbivore-mediated facilitation,protection,2,temperate forest,indirect,46.941,6.4583,Switzerland,1126,1425,91.34615385
79.1,"Eremophila sturtii, Dodonea viscosa",community of grasses and forbs,shrub-plant-animal,various,,,herbivore protection,consumer,"species density, biomass, similarity in composition",neighbour defence,protection,2,arid/semi-arid,indirect,-34.1,142.1,Australia,43,297,11
79.2,"Eremophila sturtii, Dodonea viscosa",community of grasses and forbs,shrub-plant-animal,various,,,herbivore protection,consumer,"species density, biomass, similarity in composition",neighbour defence,protection,2,arid/semi-arid,indirect,-33.7167,142.33,Australia,49,284,10.32727273
