study.ID,ID,publication.year,data.year,exp.year,exp.length (months),disturbance,focus,technique,paradigm,hypothesis,pathway,plant.species,target.plant,measure.success,measured.factor,factor.levels,treatment,control,unit,Nsites,nsamples,ntotalsamples,mean.treatment,mean.control,var.t,var.c,p-value,df,measure.dispersion,lat,long,continent,country,ecosystem,elevation (m),MAP (mm),aridity.index,potential.evaporation (mm),grazing,soil,notes
1,1.1,2018,,,,desertification,soil,litter crust ,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,soil moisture,,litter center,bare sand,percent,3,9,27,13.72,11.97,0.3,0.15,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,0.56,785,,physical and chemical factors,"potential use, unreported exp length"
1,1.1,2018,,,,desertification,soil,litter crust ,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,soil moisture,,litter middle,bare sand,percent,3,9,27,13.81,11.97,0.14,0.15,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,0.56,785,,physical and chemical factors,"potential use, unreported exp length"
1,1.1,2018,,,,desertification,soil,litter crust ,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,soil moisture,,litter edge,bare sand,percent,3,9,27,14.22,11.97,0.12,0.15,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,0.56,785,,physical and chemical factors,"potential use, unreported exp length"
1,1.2,2018,,,,desertification,soil,litter crust ,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,temperature,,litter center,bare sand,centigrade,3,9,27,22.03,26.62,0.83,0.19,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,0.56,785,,physical and chemical factors,"potential use, unreported exp length"
1,1.2,2018,,,,desertification,soil,litter crust ,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,temperature,,litter middle,bare sand,centigrade,3,9,27,21.9,26.62,0.53,0.19,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,0.56,785,,physical and chemical factors,"potential use, unreported exp length"
1,1.2,2018,,,,desertification,soil,litter crust ,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,temperature,,litter edge,bare sand,centigrade,3,9,27,22.49,26.62,0.47,0.19,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,0.56,785,,physical and chemical factors,"potential use, unreported exp length"
1,1.3,2018,,,,desertification,soil,litter crust ,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,light intensity,,litter center,bare sand,Klux,3,9,27,64.8,88.89,6.63,2.8,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,0.56,785,,physical and chemical factors,"potential use, unreported exp length"
1,1.3,2018,,,,desertification,soil,litter crust ,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,light intensity,,litter middle,bare sand,Klux,3,9,27,51.46,88.89,4.4,2.8,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,0.56,785,,physical and chemical factors,"potential use, unreported exp length"
1,1.3,2018,,,,desertification,soil,litter crust ,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,light intensity,,litter edge,bare sand,Klux,3,9,27,66.85,88.89,3.3,2.8,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,0.56,785,,physical and chemical factors,"potential use, unreported exp length"
1,1.4,2018,,,,desertification,soil,litter crust ,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,soil organic matter,,litter center,bare sand,g Kg-1,3,9,27,9.32,5.47,0.35,0.22,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,0.56,785,,physical and chemical factors,"potential use, unreported exp length"
1,1.4,2018,,,,desertification,soil,litter crust ,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,soil organic matter,,litter middle,bare sand,g Kg-1,3,9,27,11.05,5.47,0.49,0.22,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,0.56,785,,physical and chemical factors,"potential use, unreported exp length"
1,1.4,2018,,,,desertification,soil,litter crust ,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,soil organic matter,,litter edge,bare sand,g Kg-1,3,9,27,9.01,5.47,0.37,0.22,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,0.56,785,,physical and chemical factors,"potential use, unreported exp length"
1,1.5,2018,,,,desertification,soil,litter crust ,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,seedling richness,,litter,bare sand,number of species,3,9,27,5.44,1.28,0.38,0.6,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,0.56,785,,physical and chemical factors,"potential use, unreported exp length"
1,1.6,2018,,,,desertification,soil,litter crust ,passive,"surface microhabitats, litter vs bare ground",litter crusts-microhabitats,unreported shrubs,multiple herbs,seedling establishment,seedling number,,litter,bare sand,number of seedlings,3,9,27,16.31,4.61,1.14,0.39,0.05,26,std.error,38.76667,110.35,Asia,China,sand dune,1270,437,0.56,785,,physical and chemical factors,"potential use, unreported exp length"
2,2.1,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,passive,seed banks,seed banks-above ground sp,Artemisia tridentata,multiple species,native seed bank,native annual seed bank density,,NA,NA,seeds m-2,17,20,340,-63.09,,812.5,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,livestock,seed bank,not treatment-control
2,2.1,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,passive,seed banks,seed banks-above ground sp,Artemisia tridentata,multiple species,native seed bank,native perennial seed bank density,,NA,NA,seeds m-2,17,20,340,172.14,,6345.79,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,livestock,seed bank,not treatment-control
2,2.1,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,passive,seed banks,seed banks-above ground sp,Artemisia tridentata,multiple species,native seed bank,introduced species seed bank density,,NA,NA,seeds m-2,17,20,340,-4910,,9007,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,livestock,seed bank,not treatment-control
2,2.1,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,passive,seed banks,seed banks-above ground sp,Artemisia tridentata,multiple species,native seed bank,number of rare species in the above-ground community,,NA,NA,number of species per site,17,20,340,7.5762,,4.949,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,livestock,seed bank,not treatment-control
2,2.1,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,passive,seed banks,seed banks-above ground sp,Artemisia tridentata,multiple species,native seed bank,number of rare species in the below-ground community,,NA,NA,number of species per site,17,20,340,5.6625,,1.7776,,0.05,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,livestock,seed bank,not treatment-control
2,2.2,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,passive,seed banks,seed banks-above ground sp,Chrysothamus viscidiflorus,multiple species,native seed bank,native annual seed bank density,,NA,NA,seeds m-2,17,20,340,4716.96,,1335.69,,0.05,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,livestock,seed bank,not treatment-control
2,2.2,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,passive,seed banks,seed banks-above ground sp,Chrysothamus viscidiflorus,multiple species,native seed bank,native perennial seed bank density,,NA,NA,seeds m-2,17,20,340,8153.16,,10432.07,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,livestock,seed bank,not treatment-control
2,2.2,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,passive,seed banks,seed banks-above ground sp,Chrysothamus viscidiflorus,multiple species,native seed bank,introduced species seed bank density,,NA,NA,seeds m-2,17,20,340,6442,,14808,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,livestock,seed bank,not treatment-control
2,2.2,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,passive,seed banks,seed banks-above ground sp,Chrysothamus viscidiflorus,multiple species,native seed bank,number of rare species in the above-ground community,,NA,NA,number of species per site,17,20,340,19.6534,,8.1358,,0.05,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,livestock,seed bank,not treatment-control
2,2.2,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,passive,seed banks,seed banks-above ground sp,Chrysothamus viscidiflorus,multiple species,native seed bank,number of rare species in the below-ground community,,NA,NA,number of species per site,17,20,340,-0.1508,,2.9223,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,livestock,seed bank,not treatment-control
2,2.3,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,passive,seed banks,seed banks-above ground sp,Ericameria nauseosa,multiple species,native seed bank,native annual seed bank density,,NA,NA,seeds m-2,17,20,340,7251.29,,4172.44,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,livestock,seed bank,not treatment-control
2,2.3,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,passive,seed banks,seed banks-above ground sp,Ericameria nauseosa,multiple species,native seed bank,native perennial seed bank density,,NA,NA,seeds m-2,17,20,340,60347.4,,32587.73,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,livestock,seed bank,not treatment-control
2,2.3,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,passive,seed banks,seed banks-above ground sp,Ericameria nauseosa,multiple species,native seed bank,introduced species seed bank density,,NA,NA,seeds m-2,17,20,340,143795,,46256,,0.05,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,livestock,seed bank,not treatment-control
2,2.3,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,passive,seed banks,seed banks-above ground sp,Ericameria nauseosa,multiple species,native seed bank,number of rare species in the above-ground community,,NA,NA,number of species per site,17,20,340,23.3165,,25.4146,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,livestock,seed bank,not treatment-control
2,2.3,2018,2014,2014,16,"grazing, fire",seed bank,seed bank,passive,seed banks,seed banks-above ground sp,Ericameria nauseosa,multiple species,native seed bank,number of rare species in the below-ground community,,NA,NA,number of species per site,17,20,340,-9.0091,,9.1288,,0.1,339,std.error,40.66667,-115.5,North America,USA,shrubland,,,,,livestock,seed bank,not treatment-control
3,3.1,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,C mineralisation quotient,,"mine waste, T. wiseana","top soil, T. wiseana",percent,1,10,150,2.06,0.27,0.07,0.015,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,chemical composition,glasshouse
3,3.1,2018,2015,2015,12,mining,vegetation,"seeding, soil amendment",active,"seedlings, top soil vs blended soil",soil organic amendment-seedling establishment,"Triodia wiseana, Acacia ancistrocarpa, Grevillea wickhamii",Triodia wiseana,Triodia wiseana establishment,C mineralisation quotient,,"mine waste, T. wiseana and A. ancistrocarpa","top soil, T. wiseana and A. ancistrocarpa",percent,1,10,150,1.36,0.43,0.01,0.035,0.05,149,std.error,-22.05,118.1167,Oceania,Australia,grassland,,325,,,,chemical composition,glasshouse
