study.ID,ID,publication.year,data.year,exp.year,exp.length (months),disturbance,focus,technique,intervention,paradigm,hypothesis,pathway,plant.species,target.plant,measure.success,outcome,measured.factor,treatment,control,unit,Nsites,n.t,n.c,ntotalsamples,mean.t,mean.c,sd.t,sd.c,se.t,se.c,p,df,measure.dispersion,lat,long,continent,country,ecosystem,elevation (m),MAP (mm),aridity.index,potential.evaporation (mm),grazing,soil,notes
5,5.1,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,humus,"seeding plot,  0-2 cm depth",not seeding plot,percent,2,3,3,6,0.75,0.72,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.1,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,humus,"seeding plot,  2-10 cm depth",not seeding plot,percent,2,3,3,6,0.68,0.68,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.1,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,humus ,"seeding plot, 10-29 cm depth",not seeding plot,percent,2,3,3,6,0.44,0.58,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.1,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,humus ,"seeding plot, 29-40 cm depth",not seeding plot,percent,2,3,3,6,0.38,,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.1,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,humus,"seeding plot,  40-50 cm depth",not seeding plot,percent,2,3,3,6,0.44,,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.1,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,humus,"seeding plot,  30-50 cm depth",not seeding plot,percent,2,3,3,6,,0.38,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.101,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,projective cover of Artemisia terrae-albae,seeding plot,not seeding plot,percent,2,3,3,6,49.5,43,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.11,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,number of Artemisia sprouts per 1 m2,seeding plot,not seeding plot,,2,3,3,6,36,69,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.12,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,number of Artemisia immature speciments per 1 m2,seeding plot,not seeding plot,,2,3,3,6,18.5,7.5,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.13,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,survival rate of sprouts,seeding plot,not seeding plot,percent,2,3,3,6,14,30,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
