ID,Title,Authors,Source Title,Publication Year,Volume,Issue,Beginning Page,Ending Page,DOI,Total Citations,Average per Year,Researcher,Exclude? (Y/N),"If yes, why?",topic
1,Directness and tempo of avian seed dispersal increases emergence of wild chiltepins in desert grasslands,"Carlo, Tomas A.; Tewksbury, Joshua J.",JOURNAL OF ECOLOGY,2014,102,1,248,255,10.1111/1365-2745.12180,0,0,DS,N,,Seed trapping
2,"Fruit removal rate depends on neighborhood fruit density, frugivore abundance, and spatial context","Smith, Adam D.; McWilliams, Scott R.",OECOLOGIA,2014,174,3,931,942,10.1007/s00442-013-2834-1,1,1,DS,N,,Seed trapping
3,A Case Study of Urban and Peri-urban Mammal Communities: Implications for the Management of National Park Service Areas,"Chupp, Adam D.; Roder, Amy M.; Battaglia, Loretta L.; Pagels, John F.",NORTHEASTERN NATURALIST,2013,20,4,631,654,10.1656/045.020.0415,0,0,DS,Y,Comparison of animal communities with no assessment of plant-plant interactions,
4,Conservation management in fens: Do large tracked mowers impact functional plant diversity?,"Kotowski, Wiktor; Jablonska, Ewa; Bartoszuk, Helena",BIOLOGICAL CONSERVATION,2013,167,,292,297,10.1016/j.biocon.2013.08.021,1,0.5,DS,Y,Studied the effect of mowing on plant communities,
5,Effects of intraspecific and community density on the lifetime fecundity of long-lived shrubs,"Nottebrock, Henning; Esler, Karen J.; Schurr, Frank M.",PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,2013,15,3,150,161,10.1016/j.ppees.2013.03.003,1,0.5,DS,Y,Studied density dependent effects on species with different pollination type,
6,Effects of clipping and N fertilization on insect herbivory and infestation by pathogenic fungi on bilberry,"Pato, Joaquina; Ramon Obeso, Jose",BASIC AND APPLIED ECOLOGY,2013,14,4,347,356,10.1016/j.baae.2013.02.005,1,0.5,DS,Y,"Trait-mediated indirect effects between herbivores, no plant-plant facilitation considered",
7,"Seed limitation during early forest succession in a rural landscape on Chiloe Island, Chile: implications for temperate forest restoration","Bustamante-Sanchez, Marcela A.; Armesto, Juan J.",JOURNAL OF APPLIED ECOLOGY,2012,49,5,1103,1112,10.1111/j.1365-2664.2012.02179.x,2,0.67,DS,Y,"Seed dispersal in relation to succession, artificial perches utilized",
8,"The interplay among grazing history, plant-plant spatial interactions and species traits affects vegetation recovery processes in Patagonian steppe","Catorci, A.; Tardella, F. M.; Cesaretti, S.; Bertellotti, M.; Santolini, R.",COMMUNITY ECOLOGY,2012,13,2,253,263,10.1556/ComEc.13.2012.2.16,3,1,DS,N,,Restoration and grazing
9,Shrub-tree interactions and environmental changes drive treeline dynamics in the Subarctic,"Grau, Oriol; Ninot, Josep M.; Blanco-Moreno, Jose M.; van Logtestijn, Richard S. P.; Cornelissen, Johannes H. C.; Callaghan, Terry V.",OIKOS,2012,121,10,1680,1690,10.1111/j.1600-0706.2011.20032.x,9,3,DS,N,,Facilitation at the tree line
10,"Seed dispersal by birds in a cloud forest landscape in central Veracruz, Mexico: Its role in passive restoration","Hernandez-Ladron De Guevara, Ivette; Rojas-Soto, Octavio R.; Lopez-Barrera, Fabiola; Puebla-Olivares, Fernando; Diaz-Castelazo, Cecilia",REVISTA CHILENA DE HISTORIA NATURAL,2012,85,1,89,100,,1,0.33,DS,Y,Seed dispersal in forests,
