"","study.ID","ID","publication.year","data.year","exp.year","exp.length","disturbance","focus","technique","intervention","paradigm","hypothesis","pathway","plant.species","target.plant","measure.success","outcome","measured.factor","treatment","control","unit","Nsites","n.t","n.c","ntotalsamples","mean.t","mean.c","sd.t","sd.c","se.t","se.c","p","df","measure.dispersion","lat","long","continent","country","ecosystem","elevation","MAP","MAT","aridity.index","potential.evaporation (mm)","grazing","soil","notes"
"1",5,5.1,2017,2014,1978,456,"grazing","vegetation","seeding","vegetation","active","seeding vs natural sites","planting-plant succession","Agropyron desertorum","Artemisia terrae-albae","Artemisia terrae-albae communities","habitat","humus","seeding plot,  30-50 cm depth","not seeding plot","percent",2,3,3,6,0.54,0.59,NA,NA,NA,NA,NA,5,NA,46.5,60.7,"Asia","Kazakhstan","grassland",42,125,30,3.13,NA,"livestock","chemical composition","not stats, unreported p value"
"2",5,5.101,2017,2014,1978,456,"grazing","vegetation","seeding","vegetation","active","seeding vs natural sites","planting-plant succession","Agropyron desertorum","Artemisia terrae-albae","Artemisia terrae-albae communities","habitat","projective cover of Artemisia terrae-albae","seeding plot","not seeding plot","percent",2,3,3,6,49.5,43,NA,NA,NA,NA,NA,5,NA,46.5,60.7,"Asia","Kazakhstan","grassland",42,125,30,3.13,NA,"livestock","chemical composition","not stats, unreported p value"
"3",5,5.11,2017,2014,1978,456,"grazing","vegetation","seeding","vegetation","active","seeding vs natural sites","planting-plant succession","Agropyron desertorum","Artemisia terrae-albae","Artemisia terrae-albae communities","habitat","number of Artemisia sprouts per 1 m2","seeding plot","not seeding plot",NA,2,3,3,6,36,69,NA,NA,NA,NA,NA,5,NA,46.5,60.7,"Asia","Kazakhstan","grassland",42,125,30,3.13,NA,"livestock","chemical composition","not stats, unreported p value"
"4",5,5.12,2017,2014,1978,456,"grazing","vegetation","seeding","vegetation","active","seeding vs natural sites","planting-plant succession","Agropyron desertorum","Artemisia terrae-albae","Artemisia terrae-albae communities","habitat","number of Artemisia immature speciments per 1 m2","seeding plot","not seeding plot",NA,2,3,3,6,18.5,7.5,NA,NA,NA,NA,NA,5,NA,46.5,60.7,"Asia","Kazakhstan","grassland",42,125,30,3.13,NA,"livestock","chemical composition","not stats, unreported p value"
"5",5,5.13,2017,2014,1978,456,"grazing","vegetation","seeding","vegetation","active","seeding vs natural sites","planting-plant succession","Agropyron desertorum","Artemisia terrae-albae","Artemisia terrae-albae communities","habitat","survival rate of sprouts","seeding plot","not seeding plot","percent",2,3,3,6,14,30,NA,NA,NA,NA,NA,5,NA,46.5,60.7,"Asia","Kazakhstan","grassland",42,125,30,3.13,NA,"livestock","chemical composition","not stats, unreported p value"
"6",5,5.2,2017,2014,1978,456,"grazing","vegetation","seeding","vegetation","active","seeding vs natural sites","planting-plant succession","Agropyron desertorum","Artemisia terrae-albae","Artemisia terrae-albae communities","habitat","carbon dioxide","seeding plot,  30-50 cm depth","not seeding plot","percent",2,3,3,6,1.27,1.54,NA,NA,NA,NA,NA,5,NA,46.5,60.7,"Asia","Kazakhstan","grassland",42,125,30,3.13,NA,"livestock","chemical composition","not stats, unreported p value"
"7",5,5.3,2017,2014,1978,456,"grazing","vegetation","seeding","vegetation","active","seeding vs natural sites","planting-plant succession","Agropyron desertorum","Artemisia terrae-albae","Artemisia terrae-albae communities","habitat","ph","seeding plot,  30-50 cm depth","not seeding plot",NA,2,3,3,6,8.06,7.92,NA,NA,NA,NA,NA,5,NA,46.5,60.7,"Asia","Kazakhstan","grassland",42,125,30,3.13,NA,"livestock","chemical composition","not stats, unreported p value"
"8",5,5.4,2017,2014,1978,456,"grazing","vegetation","seeding","vegetation","active","seeding vs natural sites","planting-plant succession","Agropyron desertorum","Artemisia terrae-albae","Artemisia terrae-albae communities","habitat","total absorbes bases","seeding plot,  30-50 cm depth","not seeding plot","mg-eq",2,3,3,6,12.53,14.71,NA,NA,NA,NA,NA,5,NA,46.5,60.7,"Asia","Kazakhstan","grassland",42,125,30,3.13,NA,"livestock","chemical composition","not stats, unreported p value"
"9",5,5.5,2017,2014,1978,456,"grazing","vegetation","seeding","vegetation","active","seeding vs natural sites","planting-plant succession","Agropyron desertorum","Artemisia terrae-albae","Artemisia terrae-albae communities","habitat","exchangeable Na","seeding plot,  30-50 cm depth","not seeding plot","percent",2,3,3,6,3.64,1.87,NA,NA,NA,NA,NA,5,NA,46.5,60.7,"Asia","Kazakhstan","grassland",42,125,30,3.13,NA,"livestock","chemical composition","not stats, unreported p value"
"10",5,5.6,2017,2014,1978,456,"grazing","vegetation","seeding","vegetation","active","seeding vs natural sites","planting-plant succession","Agropyron desertorum","Artemisia terrae-albae","Artemisia terrae-albae communities","habitat","total salts","seeding plot,  30-50 cm depth","not seeding plot","percent",2,3,3,6,0.05,0.02,NA,NA,NA,NA,NA,5,NA,46.5,60.7,"Asia","Kazakhstan","grassland",42,125,30,3.13,NA,"livestock","chemical composition","not stats, unreported p value"
