,paradigm,intervention,outcome,technique,measured.factor,measurements,n,n
1,active,soil,habitat,"carbon addition, top soil removal, seeding",bacterial-feeders,microbial abundance,15,3
2,active,soil,habitat,"carbon addition, top soil removal, seeding",ecto-parasites,,,3
3,active,soil,habitat,"carbon addition, top soil removal, seeding",fungal-feeders,,,3
4,active,soil,habitat,"carbon addition, top soil removal, seeding",omni-carnivores,,,3
5,active,soil,habitat,"carbon addition, top soil removal, seeding",root biomass,plant biomass,30,12
6,active,soil,habitat,"carbon addition, top soil removal, seeding",root hair-feeders,,,3
7,active,soil,habitat,"carbon addition, top soil removal, seeding",shoot biomass,,,18
8,active,soil,habitat,carbon amendment,moss cover,moss cover,18,18
9,active,soil,habitat,carbon amendment,nitrate,soil nutrients content,9,9
10,active,soil,soil,"fertilization, biostimulants, seeding",bioavailable P,nutrients content and plant biomass,48,12
11,active,soil,soil,"fertilization, biostimulants, seeding",biomass,,,12
12,active,soil,soil,"fertilization, biostimulants, seeding",biomass P,,,12
13,active,soil,soil,"fertilization, biostimulants, seeding",P-removal with biomass,,,12
14,active,soil,plants,mycorrhizal,available P,soil nutrients content and soil properties,128,8
15,active,soil,plants,mycorrhizal,electrical conductivity,,,8
16,active,soil,plants,mycorrhizal,extractable K,,,8
17,active,soil,plants,mycorrhizal,nitrogen,,,24
18,active,soil,plants,mycorrhizal,ph,,,8
19,active,soil,plants,mycorrhizal,phosphorus,,,24
20,active,soil,plants,mycorrhizal,potassium,,,24
21,active,soil,plants,mycorrhizal,shoot dry weight,,,16
22,active,soil,plants,mycorrhizal,total N,,,8
23,active,vegetation,habitat,"burning, mowing",calcium,soil nutrients content and soil properties,24,4
24,active,vegetation,habitat,"burning, mowing",carbon,,,4
25,active,vegetation,habitat,"burning, mowing",electrical conductivity,,,4
26,active,vegetation,habitat,"burning, mowing",ph,,,4
27,active,vegetation,habitat,"burning, mowing",phosphorus,,,4
28,active,vegetation,habitat,"burning, mowing",potassium,,,4
29,active,vegetation,plants,mechanical disturbance and seeding,density of unpalatable grasses,plant cover and density,4,1
30,active,vegetation,plants,mechanical disturbance and seeding,Poa ligularis cover,,,1
31,active,vegetation,plants,mechanical disturbance and seeding,Poa ligularis standing crop,,,1
32,active,vegetation,plants,mechanical disturbance and seeding,unpalatable grasses cover,,,1
33,active,vegetation,habitat,"mowing, grazing",bioavailable P,soil nutrients content and plant richness,3,1
34,active,vegetation,habitat,"mowing, grazing",plant richness,,,1
35,active,vegetation,habitat,"mowing, grazing",slowly cycling P,,,1
36,active,vegetation,habitat,planting,aboveground biomass,"plant biomass, density, cover, diversity and richness",237,22
37,active,vegetation,habitat,planting,available P,soil nutrients,132,22
38,active,vegetation,habitat,planting,basal growth,,,6
39,active,vegetation,habitat,planting,C N ratio,,,22
40,active,vegetation,habitat,planting,C P ratio,,,22
41,active,vegetation,habitat,planting,flowering clums,,,6
42,active,vegetation,habitat,planting,forb biomass,,,6
43,active,vegetation,habitat,planting,forb density,,,6
44,active,vegetation,habitat,planting,forbs cover,,,6
45,active,vegetation,habitat,planting,grass biomass,,,6
46,active,vegetation,habitat,planting,grass cover,,,6
47,active,vegetation,habitat,planting,grass density,,,6
48,active,vegetation,habitat,planting,legume biomass,,,6
49,active,vegetation,habitat,planting,legume cover,,,6
50,active,vegetation,habitat,planting,legume density,,,5
51,active,vegetation,habitat,planting,mineral N,,,22
52,active,vegetation,habitat,planting,plant cover,,,6
53,active,vegetation,habitat,planting,plant density,,,18
54,active,vegetation,habitat,planting,plant diversity,,,54
55,active,vegetation,habitat,planting,plant richness,,,72
56,active,vegetation,habitat,planting,soil total nitrogen,,,22
57,active,vegetation,habitat,planting,total P,,,22
58,active,vegetation,plants,planting,bare ground,plant height and cover,6,2
59,active,vegetation,plants,planting,invertebrate abundance,"invertebrate abundance, diversity, dominance, eveness and richness",10,2
60,active,vegetation,plants,planting,invertebrate diversity,"lizard abundance, diversity, dominance, eveness and richness",10,2
61,active,vegetation,plants,planting,invertebrate dominance,,,2
62,active,vegetation,plants,planting,invertebrate evenness,,,2
63,active,vegetation,plants,planting,invertebrate richness,,,2
64,active,vegetation,plants,planting,lizards abundance,,,2
65,active,vegetation,plants,planting,lizards diversity,,,2
66,active,vegetation,plants,planting,lizards dominance,,,2
67,active,vegetation,plants,planting,lizards evenness,,,2
68,active,vegetation,plants,planting,lizards richness,,,2
69,active,vegetation,plants,planting,plant height,,,2
70,active,vegetation,plants,planting,vegetation basal cover,,,2
71,active,vegetation,soil,planting,a D glucosidase,soil nutrients content and soil properties,84,8
72,active,vegetation,soil,planting,b D glucosidase,,,4
73,active,vegetation,soil,planting,catalase,,,8
74,active,vegetation,soil,planting,nitrogen,,,8
75,active,vegetation,soil,planting,organic carbon,,,8
76,active,vegetation,soil,planting,ph,,,8
77,active,vegetation,soil,planting,phosphatase,,,8
78,active,vegetation,soil,planting,protease,,,8
79,active,vegetation,soil,planting,soil dehydrogenase,,,8
