"","study.ID","paradigm","intervention","technique","outcome","measured.factor","n"
"1",11,"active","vegetation","planting","soil","a D glucosidase",8
"2",11,"active","vegetation","planting","soil","b D glucosidase",4
"3",11,"active","vegetation","planting","soil","catalase",8
"4",11,"active","vegetation","planting","soil","nitrogen",8
"5",11,"active","vegetation","planting","soil","organic carbon",8
"6",11,"active","vegetation","planting","soil","ph",8
"7",11,"active","vegetation","planting","soil","phosphatase",8
"8",11,"active","vegetation","planting","soil","protease",8
"9",11,"active","vegetation","planting","soil","soil dehydrogenase",8
"10",11,"active","vegetation","planting","soil","total N",8
"11",11,"active","vegetation","planting","soil","total P",8
"12",13,"active","vegetation","planting","plants","bare ground",2
"13",13,"active","vegetation","planting","plants","invertebrate abundance",2
"14",13,"active","vegetation","planting","plants","invertebrate diversity",2
"15",13,"active","vegetation","planting","plants","invertebrate dominance",2
"16",13,"active","vegetation","planting","plants","invertebrate evenness",2
"17",13,"active","vegetation","planting","plants","invertebrate richness",2
"18",13,"active","vegetation","planting","plants","lizards abundance",2
"19",13,"active","vegetation","planting","plants","lizards diversity",2
"20",13,"active","vegetation","planting","plants","lizards dominance",2
"21",13,"active","vegetation","planting","plants","lizards evenness",2
"22",13,"active","vegetation","planting","plants","lizards richness",2
"23",13,"active","vegetation","planting","plants","plant height",2
"24",13,"active","vegetation","planting","plants","vegetation basal cover",2
"25",51,"active","vegetation","planting, grazing exclusion","animals","arthropod abundance",2
"26",51,"active","vegetation","planting, grazing exclusion","animals","arthropod diversity",2
"27",51,"active","vegetation","planting, grazing exclusion","animals","arthropod richness",2
"28",51,"active","vegetation","planting, grazing exclusion","animals","bulk density",2
"29",51,"active","vegetation","planting, grazing exclusion","animals","coarse sand",2
"30",51,"active","vegetation","planting, grazing exclusion","animals","fine sand",2
"31",51,"active","vegetation","planting, grazing exclusion","animals","plant cover",2
"32",51,"active","vegetation","planting, grazing exclusion","animals","plant density",2
"33",51,"active","vegetation","planting, grazing exclusion","animals","plant height",2
"34",51,"active","vegetation","planting, grazing exclusion","animals","plant richness",2
"35",51,"active","vegetation","planting, grazing exclusion","animals","temperature",2
"36",51,"active","vegetation","planting, grazing exclusion","animals","water content",2
"37",64,"active","soil","carbon addition, top soil removal, seeding","habitat","bacterial-feeders",3
"38",64,"active","soil","carbon addition, top soil removal, seeding","habitat","ecto-parasites",3
"39",64,"active","soil","carbon addition, top soil removal, seeding","habitat","fungal-feeders",3
"40",64,"active","soil","carbon addition, top soil removal, seeding","habitat","omni-carnivores",3
"41",64,"active","soil","carbon addition, top soil removal, seeding","habitat","root biomass",12
"42",64,"active","soil","carbon addition, top soil removal, seeding","habitat","root hair-feeders",3
"43",64,"active","soil","carbon addition, top soil removal, seeding","habitat","shoot biomass",18
"44",66,"passive","vegetation","seeding, shrub facilitation","habitat","seedling biomass",8
"45",66,"passive","vegetation","seeding, shrub facilitation","habitat","seedling height",8
"46",66,"passive","vegetation","seeding, shrub facilitation","habitat","seedling survival",8
"47",68,"active","vegetation","planting","habitat","basal growth",6
"48",68,"active","vegetation","planting","habitat","flowering clums",6
"49",69,"passive","vegetation","grazing exclusion","plants","annuals cover",2
"50",69,"passive","vegetation","grazing exclusion","plants","plant biomass",2
"51",69,"passive","vegetation","grazing exclusion","plants","plant cover",2
